Area,Year,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature Â°C
Afghanistan,1990,14.7237,0.0557,205.6077,686,0,11.807482956246297,63.1152,-2388.803,0,79.0851,109.6446,14.2666,67.63136607385836,691.7888,252.2141899664796,11.997,209.9778,260.1431,1590.5319,319.1763,0,0,,9655167,2593947,5348387,5346409,2198.9635389965842,0.5361666666666667
Italy,2002,4.2388,1.9494,1157.3581,3085.9557,707.127,1744,9253.8625,-35510.0911,0,13917.4256,7657.1992,2497.8211,5764.4596,15260.0175,60218.9323,1052.8283,46925.0886,2513.8232,2034.0176,6298.5773,0,0,9348.8031,18853502,38948261,27631893,29475684,153933.39380000002,1.1863333333333335
Italy,2003,7.5058,9.236,983.8095,3085.9416,708.6723,1603,9342.4087,-35510.0911,0,14774.291,8795.2725,2675.9906,5878.3091,16473.0516,62644.7374,1068.5798,48799.5622,2463.7289,1971.307,6195.7896,0,0,9408.7723,18897042,39249995,27796338,29628838,161379.8748,1.4588333333333334
Italy,2004,3.9158,4.9416,1254.5613,3241.8369,708.6723,1571,9594.1371,-35510.0911,0,14855.5939,9488.8866,2613.7681,5592.6175,16088.088,59363.1468,1035.3176,49661.2732,2467.708,1951.255,6210.1964,0,0,9350.936,18940573,39554131,28022461,29838200,159547.761,0.8201666666666666
Italy,2005,1.5052,1.0406,1160.7957,3161.2997,708.6723,1398,9499.7527,-35510.0911,0,15068.2231,10552.0428,2642.3162,5384.3507,14386.9543,57203.1498,1030.2038,50086.935,2423.7399,1913.4014,6049.4314,0,0,9432.0738,18972670,39835813,28197564,30002313,156593.79729999998,0.3618333333333333
Zimbabwe,1992,2043.3344,185.0667,52.8685,0.3528,0,18,254.7858,-269.3677,10670.887,169.2136,340.6681,688.2538,44.0192,803.343,134.72547558468258,2281.9226291630343,983.563,87.7709,2804.9381,266.1774,0,0,1551.6068,7424652,3258216,5102026,5539475,23112.129504747718,1.0753333333333333
Zimbabwe,2009,2773.4081,168.2894,91.1173,2.4794,0,71,132.4298,262.6108,10677.6439,105.9238,372.2491,225.0451,47.2915,985.5613,240.6239,1348.5770263207712,533.9324,95.0739,2741.465,279.9497,0,0,3742.7687,9200909,4609690,5965793,6714016,24897.440126320776,-0.194083333
Zimbabwe,2010,2795.6192,283.6316,109.3055,3.0243,0,87,157.6366,262.6108,10677.6439,141.1969,340.6886,260.8153,28.3425,1004.2754,64.3667,1227.2402529603542,709.796,103.608,2968.0562,302.3508,0,0,2074.1869,9410211,4676106,6034165,6805605,23601.39545296035,0.9119166666666666
Zimbabwe,2011,2918.2098,168.1659,100.7798,3.7456,0,94,268.674,648.0808,10670.887,179.8443,328.7726,331.538,26.9203,1019.7733,286.5094,1127.6878047805296,843.898,102.2926,3072.2327,312.2478,0,0,966.3719,9636932,4749717,6114111,6911674,23470.631604780534,0.19116666666666668
Zimbabwe,2012,2164.8953,259.4249,103.8422,5.5527,0,91,304.6578,648.0808,10670.887,170.867,322.0831,317.3356,25.0008,1037.0116,280.779,1127.6878047805296,947.933,102.4605,3101.127,314.3433,0,0,908.2629,9880721,4830105,6223803,7041528,22903.232304780533,0.337
Zimbabwe,2013,1544.9329,238.1898,96.8978,5.8016,0,73,338.5506,648.0808,10670.887,203.6878,335.2805,625.243,22.6699,1045.1572,304.9108,1127.6878047805296,869.915,103.5893,3127.0658,317.9359,0,0,546.0138,10138667,4915839,6363142,7192279,22245.49730478053,0.089666667
Zimbabwe,2014,1706.5216,166.6056,94.2907,7.3598,0,65,306.0107,648.0808,10670.887,193.8033,345.8029,465.9937,20.788,1054.5234,310.9924,1249.0245781409462,978.023,79.7429,2529.3634,240.2096,0,0,520.7873,10402274,5009401,6508226,7347527,21653.81067814094,0.096333333
Zimbabwe,2015,2185.5313,287.166,72.4948,9.067,0,68,296.7483,648.0808,10670.887,201.9746,374.0871,717.1441,21.0108,1057.7146,314.0334,2485.528399006752,918.826,90.2761,2755.08,273.1156,0,0,485.3018,10667966,5109485,6652836,7502101,23932.067699006755,1.1534166666666665
Zimbabwe,2016,1190.0089,232.5068,70.9451,7.4088,0,75,251.1465,76500.2982,10662.4408,251.2681,443.0872,428.4352,22.9108,1077.2392,317.0744,2585.0808471865766,858.982,96.1332,2721.1459,282.5994,0,0,417.315,10934468,5215894,6796658,7656047,98491.02634718659,1.12025
Zimbabwe,2017,1431.1407,131.1324,108.6262,7.9458,0,67,255.7975,76500.2982,10662.4408,203.1236,445.3881,304.7852,18.9857,1093.3441,332.7759,1227.2402529603542,889.425,81.2314,2744.8763,255.59,0,0,398.1644,11201138,5328766,6940631,7810471,97159.31155296037,0.0465
Zimbabwe,2018,1557.583,221.6222,109.9835,8.1399,0,66,327.0897,76500.2982,10662.4408,211.1539,492.8599,346.8512,19.057,1108.5523,348.5107,1127.6878047805296,966.265,81.0712,2790.0949,257.2735,0,0,465.7735,11465748,5447513,7086002,7966181,97668.30820478052,0.5163333333333333
Zimbabwe,2019,1591.6049,171.0262,45.4574,7.8322,0,73,290.1893,76500.2982,10662.4408,228.6381,542.5922,350.2168,17.9514,1121.3255,327.8209,2485.528399006752,945.942,85.7211,2828.7215,267.5224,0,0,444.2335,11725970,5571525,7231989,8122618,98988.06279900676,0.9856666666666666
Zimbabwe,2020,481.9027,48.4197,108.3022,7.9733,0,73,238.7639,76500.2982,10662.4408,213.9211,568.0445,350.2168,16.6754,1134.1634,307.4145,1227.2402529603542,940.42,85.3143,2829.7457,266.7316,0,0,444.2335,11980005,5700460,7385220,8284447,96505.22185296036,0.18899999999999997